name,song_name,song_subgenre
The Wolf of Wall Street,In the Bush,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock"
The Wolf of Wall Street,Can't Help Falling in Love,"adult standards, canadian pop, jazz pop, lounge"
The Wolf of Wall Street,Goldfinger,"pop punk, punk, ska, skate punk, socal pop punk"
The Wolf of Wall Street,Baby Got Back,old school hip hop
The Wolf of Wall Street,Everlong,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
The Wolf of Wall Street,The Oompa Loompa Song,
The Wolf of Wall Street,"Hey Leroy, Your Mama's Callin' You ",
The Wolf of Wall Street,Sloop John B,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop"
The Wolf of Wall Street,Boom Boom Boom,"bubblegum dance, eurodance, europop"
The Wolf of Wall Street,I Need You Baby (Mona),"album rock, british invasion, classic rock, rock"
The Wolf of Wall Street,Meth Lab Zoso Sticker,modern blues rock
The Wolf of Wall Street,Flying High,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock"
The Wolf of Wall Street,I'm Popeye the Sailor Man,"comedy, comic"
The Wolf of Wall Street,Get Us Down,"dance pop, miami hip hop, pop"
The Wolf of Wall Street,I Don't Want to Walk Without You,"big band, jazz trumpet, swing"
The Wolf of Wall Street,Dream Lover,"adult standards, easy listening, lounge, rock-and-roll, rockabilly, vocal jazz"
The Wolf of Wall Street,Score,atl drill
The Wolf of Wall Street,One Step Beyond,"britpop, new romantic, new wave, ska, ska revival"
The Wolf of Wall Street,Hip Hop Hooray,"east coast hip hop, hip hop, new jersey rap"
The Wolf of Wall Street,Wednesday Night Prayer Meeting,"avant-garde jazz, bebop, contemporary post-bop, cool jazz, electric bass, free jazz, hard bop, jazz, jazz double bass"
The Wolf of Wall Street,Gloria,"new romantic, new wave pop, soft rock, synthpop"
The Wolf of Wall Street,Ça Plane Pour Moi,classic belgian pop
The Wolf of Wall Street,Cast Your Fate to the Wind,"new age, new age piano"
The Wolf of Wall Street,Mrs. Robinson,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock"
The Wolf of Wall Street,The Money Chant,"atl hip hop, atl trap"
Unforgiven,Claudia's Song,"dance pop, miami hip hop, pop"
Casino,J.S. Bach Matthäuspassion BMV,"baroque, classical, early music, german baroque"
Casino,Zooma Zooma,"adult standards, jump blues, lounge, swing"
Casino,Moonglow,"big band, dixieland, jazz clarinet, swing, vintage jazz"
Casino,You're Nobody 'Til Somebody Loves You,"adult standards, easy listening, lounge, vocal jazz"
Casino,"Sing, Sing, Sing (With a Swing) ","adult standards, jump blues, lounge, swing"
Casino,7-11 (aka Mambo #5),
Casino,Hoochie Coochie Man,"hard rock, rock"
Casino,Fa-Fa-Fa-Fa-Fa (Sad Song),"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz"
Casino,Long Long While,
Casino,(I Can't Get No) Satisfaction,"album rock, british invasion, classic rock, rock"
Casino,The 'In' Crowd,post-teen pop
Casino,The 'In' Crowd,post-teen pop
Casino,Compared To What,"adult standards, classic soul, disco, quiet storm, soft rock, soul, vocal jazz"
Casino,Slippin' and Slidin',"alternative country, folk, indie folk, nashville americana, new americana, roots rock, singer-songwriter"
Casino,Love Is Strange,
Casino,Heart of Stone,broadway
Casino,Love Is The Drug,"art rock, glam rock, melancholia, new romantic, new wave, new wave pop, sophisti-pop"
Casino,Nel Blu Dipinto Di Blu (Volare),
Casino,Takes Two to Tango,
Casino,How High The Moon,
Casino,I Ain't Superstitious,"album rock, blues, blues rock, british blues, classic rock, electric blues, hard rock, instrumental rock, jazz fusion, progressive rock"
Casino,Happy Birthday to You,children's music
Casino,Working In The Coal Mine,"new orleans funk, new orleans soul"
Casino,Unforgettable,"hip hop, pop rap, rap, southern hip hop, trap"
Casino,Stardust,"anime score, japanese soundtrack"
Casino,Stardust,"anime score, japanese soundtrack"
Casino,What A Difference A Day Makes,"jazz blues, soul, vocal jazz"
Casino,I'll Take You There,
Casino,Love Me the Way I Love You,"classic soul, souldies"
Casino,Let's Start All Over Again,"classic soul, disco, funk, motown, philly soul, quiet storm, soul"
Casino,Sweet Virginia,"album rock, british invasion, classic rock, rock"
Casino,Basin Street Blues/When It's Sleepy Time Down South,"adult standards, jump blues, lounge, swing"
Casino,Stella By Starlight,
Casino,Boogaloo Down Broadway,philly soul
Casino,Sweet Dreams,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
Casino,Can't You Hear Me Knocking,"album rock, british invasion, classic rock, rock"
Casino,Toad,meme
Casino,Those Were The Days,australian americana
Casino,Hurt,"arkansas country, outlaw country, rock"
Casino,The Glory of Love,"adult standards, lounge"
Casino,Nights In White Satin,"album rock, art rock, british invasion, classic rock, country rock, flute rock, folk rock, mellow gold, progressive rock, rock, singer-songwriter, soft rock, symphonic rock"
Casino,Walk On The Wild Side,"classic rock, glam rock, permanent wave, rock, singer-songwriter"
Casino,Gimme Shelter,"album rock, british invasion, classic rock, rock"
Casino,Gimme Shelter,"album rock, british invasion, classic rock, rock"
Casino,EEE-O Eleven,
Casino,I'll Walk Alone,lo-fi beats
Casino,Sunrise,"contemporary country, country, country road, modern country rock"
Casino,That's the Way I Like It,"disco, mellow gold, new wave pop, soft rock, soul"
Casino,Venus,"girl group, hi-nrg, new romantic, new wave, new wave pop, soft rock"
Casino,Flight of the Bumblebee,"avant-garde, classical, early modern classical, late romantic era, russian romanticism"
Casino,Theme de Camille,"classic soundtrack, french soundtrack"
Casino,Whip It,"alternative rock, art punk, dance rock, new romantic, new wave, new wave pop, post-punk, synth punk, synthpop, zolo"
Casino,Ain't Got No Home,"doo-wop, louisiana blues, new orleans blues, rhythm and blues, rock-and-roll"
Casino,I'm Sorry,"adult standards, lounge, rockabilly"
Casino,Without You,"chamber pop, swedish indie rock"
Casino,Go Your Own Way,punk cover
Casino,I'm Confessin' (That I Love You),torch song
Casino,The Thrill Is Gone,"blues, blues rock, classic rock, electric blues, jazz blues, soul, soul blues, traditional blues"
Casino,(I Can't Get No) Satisfaction,"album rock, british invasion, classic rock, rock"
Casino,Who Can I Turn To (When Nobody Needs Me),"bebop, jazz, jazz saxophone"
Casino,Harbor Lights,"adult standards, easy listening, motown, rock-and-roll, rockabilly"
Casino,The House of the Rising Sun,"album rock, british invasion, classic rock, hard rock, protopunk, psychedelic rock, rock"
Judgment at Nuremberg,Lili Marleen,"cabaret, torch song, vintage hollywood, vintage schlager"
Judgment at Nuremberg,Liebeslied,"classical, late romantic era"
Judgment at Nuremberg,Wenn wir marschieren,musikkorps
Judgment at Nuremberg,Care for Me,"alternative r&b, chicago rap"
Judgment at Nuremberg,Notre amour ne peur,chanson
Judgment at Nuremberg,"Du, du liegst mir im Herzen ",
Judgment at Nuremberg,"Piano Sonata No. 8 in C minor, Op. 13 ","classical, classical era, early romantic era, german romanticism"
Pan's Labyrinth,"Long, Long Time Ago/Hace mucho, mucho tiempo ",
Pan's Labyrinth,The Labyrinth/El laberinto,
Pan's Labyrinth,"Rose, Dragon/La rosa y el dragón ",
Pan's Labyrinth,The Fairy and the Labyrinth/El hada y el laberinto,scorecore
Pan's Labyrinth,Three Trials/Las tres pruebas,
Pan's Labyrinth,The Moribund Tree and the Toad/El árbol que muere y el sapo,
Pan's Labyrinth,Guerilleros,
Pan's Labyrinth,A Book of Blood/El libro de sangre,hyper-rock
Pan's Labyrinth,Mercedes Lullaby/Nana de Mercedes,instrumental lullaby
Pan's Labyrinth,The Refuge/El refugio,melodic house
Pan's Labyrinth,Not Human/El que no es humano,
Pan's Labyrinth,The River/El río,
Pan's Labyrinth,A Tale/Un cuento,
Pan's Labyrinth,Deep Forest/Bosque profundo,
Pan's Labyrinth,Waltz of the Mandrake/Vals de la mandrágora,
Pan's Labyrinth,The Funeral/El funeral,"reggaeton, urbano latino"
Pan's Labyrinth,Mercedes,"album rock, classic rock, hard rock, psychedelic rock, rock, singer-songwriter"
Pan's Labyrinth,Pan and the Full Moon/La luna llena y el Fauno,tejano
Pan's Labyrinth,Ofelia,
Pan's Labyrinth,A Princess/Una princesa,
Pan's Labyrinth,Pan's Labyrinth Lullaby/Nana del laberinto del Fauno,"latin soundtrack, soundtrack"
Pan's Labyrinth,Soy un pobre presidiario,"cante flamenco, copla"
Pan's Labyrinth,En los jardines de Granada,vintage spanish pop
Pan's Labyrinth,"Just A Short Time After (Reconstruction pt. 1, 2) ","cali rap, gangster rap, golden age hip hop, hyphy, oakland hip hop, west coast rap"
Ran,,
A Beautiful Mind,All Love Can Be,operatic pop
A Beautiful Mind,Columba aspexit,"classical, early music, medieval"
A Beautiful Mind,"Piano Sonata No. 11 in A Major, K. 331 ",
A Beautiful Mind,A Lonely Tear,"new americana, north carolina roots, progressive bluegrass, stomp and holler"
The Sixth Sense,I Fall In Love Too Easily,"cool jazz, jazz, jazz trumpet, vocal jazz"
The Sixth Sense,Come See About Me,"classic girl group, classic soul, disco, motown, soul"
The Sixth Sense,Head,"contemporary country, country, country road, modern country rock"
The Sixth Sense,Space Cocktail,"ambient dub techno, dub techno, swiss techno"
The Sixth Sense, Rider,
The Sixth Sense,"Piano Quintet in A Major, Op. 32, D.667, 'Trout' Andante (Tema con Variazoni) ","classical, classical era, early romantic era"
The Sixth Sense,Crazy Girl,"classic texas country, contemporary country, country, country road, heartland rock, modern country rock"
Monty Python and the Holy Grail,Camelot Song (Knights of the Round Table),middle earth
Monty Python and the Holy Grail,He's Going to Tell,singaporean singer-songwriter
Monty Python and the Holy Grail,Big Country,"new romantic, new wave, new wave pop, scottish new wave, scottish rock"
Monty Python and the Holy Grail,Homeward Bound,
Monty Python and the Holy Grail,God Choir,"sda a cappella, worship"
Monty Python and the Holy Grail,Fanfare,"american modern classical, classical, early modern classical"
Monty Python and the Holy Grail,Sunrise Music,background music
Monty Python and the Holy Grail,Knights of Ni,video game music
Monty Python and the Holy Grail,Sir Robin's Song,"british modern classical, classical, late romantic era, victorian britain"
Monty Python and the Holy Grail,Magenta,"dance pop, edm, electronic trap, pop, pop dance"
Monty Python and the Holy Grail,Love Theme,"adult standards, classic soundtrack, easy listening"
Monty Python and the Holy Grail,Starlet in the Starlight,
Monty Python and the Holy Grail,Monks Chant,"broadway, show tunes"
Monty Python and the Holy Grail,The Promised Land,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
Monty Python and the Holy Grail,Ice Floe 9,
Monty Python and the Holy Grail,Flying Messenger,
Monty Python and the Holy Grail,Countrywide,"canadian contemporary country, canadian country, canadian singer-songwriter"
Monty Python and the Holy Grail,Desperation,"detroit hip hop, hip hop, rap"
There Will Be Blood,Popcorn Superhet Receiver,orchestra
There Will Be Blood,Violin Concerto in D Major Op.77:3. Vivace Non Troppo,"classical, german romanticism, late romantic era"
There Will Be Blood,Smear,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore"
There Will Be Blood,Pärt: Fratres for Cello and Piano,"baltic classical, classical, compositional ambient, contemporary classical, minimalism"
There Will Be Blood,What a Friend We Have in Jesus,country
There Will Be Blood,There Is Power in the Blood,country
There Will Be Blood,Gradh Geal Mo Chridh,
The Truman Show,"Piano Sonata No. 11 in A Major (K. 331) (300), Third Movement: Alla Turca ","classical, classical era"
The Truman Show,The Beginning,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge"
The Truman Show,Living Waters,roots worship
The Truman Show,Anthem - Part 1,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
The Truman Show,Opening,soundtrack
The Truman Show,Twentieth Century Boy,
The Truman Show,"Piano Concerto No. 1 in E Minor, Opus 11: Second Movement: 'Romance - Larghetto' ","classical, early romantic era, polish classical"
The Truman Show,Scales to America,"oceania soundtrack, soundtrack"
The Truman Show,"Horn Concerto No. 1 in D Major (K412), First Movement: Allegro ","classical, classical era"
The Truman Show,Love Is Just Around the Corner,"exotica, jazz organ, space age pop"
The Truman Show,Wiegenlied (Lullaby),
The Truman Show,Underground,indiecoustica
The Truman Show,Father Kolbe's Preaching,
The Truman Show,Truman Sleeps,"american contemporary classical, classical, compositional ambient, contemporary classical, minimalism"
The Truman Show,Raising the Sail,"american contemporary classical, classical, compositional ambient, contemporary classical, minimalism"
The Truman Show,It's a Life,"melodic rap, rap, trap"
The Truman Show,Anthem - Part 2,"american contemporary classical, classical, compositional ambient, contemporary classical, minimalism"
Yojimbo,,
The Treasure of the Sierra Madre,Believe Me If All Those Endearing Young Charms,
Shutter Island,Lontano,"canzone d'autore, classic italian pop, italian adult pop"
Shutter Island,Fog Tropes,"minimalism, post-minimalism"
Shutter Island,Symphony No. 3: Passacaglia - Allegro moderato,"avant-garde, classical, contemporary classical, polish contemporary classical"
Shutter Island,Music for Marcel Duchamp,"american contemporary classical, avant-garde, classical, compositional ambient, contemporary classical, experimental"
Shutter Island,Hommage á John Cage,"korean experimental, laboratorio, sound art"
Shutter Island,Quattro Pezzi,
Shutter Island,Lontano,"canzone d'autore, classic italian pop, italian adult pop"
Shutter Island,Rothko Chapel 2,"american contemporary classical, avant-garde, contemporary classical, drone, minimalism, tzadik"
Shutter Island,On the Nature of Daylight,"compositional ambient, post-minimalism"
Shutter Island,Uaxuctum: The Legend of the Mayan City Which They Themselves Destroyed for Religious Reasons,new age
Shutter Island,Pacific Sirens,american modern classical
Shutter Island,The Lost Day,"ambient, art pop, art rock, compositional ambient, experimental, experimental ambient, fourth world, glam rock, minimalism, singer-songwriter"
Shutter Island,Four Hymns: II for Cello and Double Bass,
Shutter Island,Lizard Point,"ambient, art pop, art rock, compositional ambient, experimental, experimental ambient, fourth world, glam rock, minimalism, singer-songwriter"
Shutter Island,Suite for Symphonic Strings: Nocturne,"american contemporary classical, avant-garde, classical percussion, contemporary classical, serialism, xenharmonic"
Shutter Island,Christian Zeal and Activity,"21st century classical, american contemporary classical, classical, compositional ambient, contemporary classical, minimalism, post-minimalism"
Shutter Island,Root of an Unfocus,"american contemporary classical, avant-garde, classical, compositional ambient, contemporary classical, experimental"
Shutter Island,Fluorescences,"alternative rock, art pop, experimental, experimental pop, experimental rock, indietronica, neo-psychedelic, no wave, noise pop"
Shutter Island,My Father Knew Charles Ives: The Lake,"21st century classical, american contemporary classical, classical, compositional ambient, contemporary classical, minimalism, post-minimalism"
Shutter Island,Fragor,"barnmusik, barnsagor"
Shutter Island,Prelude - The Bay,"classical, early romantic era, polish classical"
Shutter Island,Two Etudes Harmonies,"avant-garde, classical, compositional ambient, contemporary classical, hungarian contemporary classical, laboratorio"
Shutter Island,Quartet for Piano and Strings in A minor,"classical, german romanticism, late romantic era"
Shutter Island,Quartet for Piano and Strings in A minor,"classical, german romanticism, late romantic era"
Shutter Island,Cry,singer-songwriter pop
Shutter Island,Wheel of Fortune,"eurodance, europop, new wave pop"
Shutter Island,Tomorrow Night,"comic, comic metal, glam metal, sleaze rock"
Shutter Island,On the Nature of Daylight,"compositional ambient, post-minimalism"
Shutter Island,This Bitter Earth,
The Great Escape,,
Rashomon,Woman's Tale Theme (Bolero),"british orchestra, classical, orchestra"
Jurassic Park,Las Gaviotas,"mariachi, musica mexicana, norteno, ranchera"
Kill Bill: Vol. 1,Bang Bang (My Baby Shot Me Down),"lounge, sunshine pop"
Kill Bill: Vol. 1,Music Box Dancer,
Kill Bill: Vol. 1,Armundo,"bolero, cancion melodica, latin pop, musica yucateca, trova, velha guarda"
Kill Bill: Vol. 1,Ironside,
Kill Bill: Vol. 1,Twisted Nerve,classic soundtrack
Kill Bill: Vol. 1,That Certain Female,rockabilly
Kill Bill: Vol. 1,Truck Turner,"classic soul, disco, funk, memphis soul, quiet storm, soul, southern soul"
Kill Bill: Vol. 1,Seven Notes in Black,"drum and bass, uk dance, uk dnb"
Kill Bill: Vol. 1,"Il Grande Duello / The Grand Duel, A (Mix II) ","classic soundtrack, italian soundtrack"
Kill Bill: Vol. 1,I Lunghi Gioni Della Vendetta / The Long Day of Vengeance,vintage italian soundtrack
Kill Bill: Vol. 1,"Il Grande Duello / The Grand Duel, M10 ","classic soundtrack, italian soundtrack"
Kill Bill: Vol. 1,Wound That Heals,gothic americana
Kill Bill: Vol. 1,Il Grande Duello / The Grand Duel - (Parte Prima),"classic soundtrack, italian soundtrack"
Kill Bill: Vol. 1,Run Fay Run,"classic soul, disco, funk, memphis soul, quiet storm, soul, southern soul"
Kill Bill: Vol. 1,Green Hornet,"dixieland, easy listening, jazz trumpet, new orleans jazz, space age pop"
Kill Bill: Vol. 1,The Lonely Shepherd,"panpipe, romanian folk"
Kill Bill: Vol. 1,I Walk Like Jayne Mansfield,"japanese garage rock, japanese rockabilly"
Kill Bill: Vol. 1,Urami-Bushi,enka
Kill Bill: Vol. 1,Woo Hoo,"japanese garage rock, japanese rockabilly"
Kill Bill: Vol. 1,Battle Without Honor or Humanity,
Kill Bill: Vol. 1,I Giorni Dell'ira,"italian soundtrack, vintage italian soundtrack"
Kill Bill: Vol. 1,I'm Blue,"eurodance, europop, italian adult pop, italo dance"
Kill Bill: Vol. 1,Super 16,"dusseldorf electronic, experimental, experimental rock, krautrock, protopunk"
Kill Bill: Vol. 1,Death Rides a Horse,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
Kill Bill: Vol. 1,Champions of Death,chicano rap
Kill Bill: Vol. 1,White Lightning,"classic country pop, country, country rock, honky tonk"
Kill Bill: Vol. 1,Police Check Point,video game music
Kill Bill: Vol. 1,Don't Let Me Be Misunderstood / Esmeralda Suite,
Kill Bill: Vol. 1,Nobody But Me,classic garage rock
Kill Bill: Vol. 1,Flower of Carnage (Shura No Hana),enka
Kill Bill: Vol. 1,Yagyu Conspiracy,vocaloid
Kill Bill: Vol. 1,Auld Lang Syne,"acoustic pop, ectofolk, lilith, neo mellow"
Finding Nemo,The Girl from Ipanema,"bebop, bossa nova, cool jazz, jazz, jazz saxophone, latin jazz, samba-jazz, vocal jazz"
Finding Nemo,Psycho (The Murder),"mexican metal, monterrey indie"
Finding Nemo,Fandango,"latin classical, mexican classical"
Finding Nemo,Beyond the Sea,"adult standards, easy listening, lounge, rock-and-roll, rockabilly, vocal jazz"
Finding Nemo,Just Keep Swimming,
Finding Nemo,"Twinkle, Twinkle, Little Star ",instrumental lullaby
No Country for Old Men,Puño de tierra,"corrido, sierreno"
No Country for Old Men,Las mañanitas,"mariachi, ranchera"
No Country for Old Men,Young Men Dead,"garage rock, modern blues rock, neo-psychedelic"
Raging Bull,Cavalleria rusticana: Intermezzo,"classical, italian opera, italian romanticism, post-romantic era"
Raging Bull,Guglielmo Ratcliff: Intermezzo,"classical, italian opera, italian romanticism, post-romantic era"
Raging Bull,Silvano: Barcarolle,
Raging Bull,At Last,"jazz blues, soul, soul blues, torch song, vocal jazz"
Raging Bull,A New Kind of Love,"downtempo, etherpop, metropopolis"
Raging Bull,Webster Hall,
Raging Bull,Vivere,"classical tenor, italian tenor, operatic pop"
Raging Bull,Stornelli Fiorentini,vintage italian pop
Raging Bull,Scapricciatiello (Infatuation),
Raging Bull,Turi Giuliano,
Raging Bull,Cow Cow Boogie,jump blues
Raging Bull,Whispering Grass,"lounge, vocal harmony group"
Raging Bull,Stone Cold Dead in the Market,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
Raging Bull,Till Then,vocal harmony group
Raging Bull,Big Noise from Winnetka,"jazz drums, soul jazz"
Raging Bull,Heartaches,british dance band
Raging Bull,Do I Worry,"lounge, vocal harmony group"
Raging Bull,Two O'Clock Jump,"big band, harlem renaissance, jazz, jazz piano, swing, vocal jazz"
Raging Bull,Drum Boogie,"big band, jazz drums, swing"
Raging Bull,All or Nothing at All,"adult standards, easy listening, lounge"
Raging Bull,Blue Velvet,"italian library music, vintage italian soundtrack"
Raging Bull,Flash,"disco, new romantic, new wave pop, soft rock"
Raging Bull,Jersey Bounce,"adult standards, big band, dixieland, jazz, jazz clarinet, swing, vintage jazz, vocal jazz"
Raging Bull,Come Fly with Me,"adult standards, easy listening, lounge"
Raging Bull,Mona Lisa,"alternative pop rock, pov: indie"
Raging Bull,I Ain't Got Nobody,"adult standards, jump blues, lounge, swing"
Raging Bull,Nao tenho lagrimas,"adult standards, lounge, soul, swing, vocal jazz"
Raging Bull,Prisoner of Love,pacific islands pop
Raging Bull,Prisoner of Love,pacific islands pop
Raging Bull,Frenesi,
Raging Bull,My Reverie,"bossa nova, brazilian jazz, jazz guitar, violao, violao classico"
Raging Bull,Just One More Chance,jazz saxophone
Raging Bull,That's My Desire,"christmas instrumental, relaxative"
Raging Bull,"Bye, Bye Baby ",pop
Raging Bull,Lonely Nights,"auckland indie, indie soul"
Raging Bull,Tell the Truth,"cali rap, sacramento hip hop"
Raging Bull,Of Mice and Men,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal"
The Elephant Man,"Adagio for Strings, Op. 11 ","american modern classical, classical"
V for Vendetta,The Beginning... At Last,"alternative metal, groove metal, hard rock, metal, nu metal"
V for Vendetta,Cry Me a River,"dance pop, pop"
V for Vendetta,The Girl from Ipanema,"bebop, bossa nova, cool jazz, jazz, jazz saxophone, latin jazz, samba-jazz, vocal jazz"
V for Vendetta,The Duel,modern jazz piano
V for Vendetta,Love Theme and End TItle,"orchestra, scorecore, symfonicky orchestr"
V for Vendetta,Corcovado - Quiet Nights of Quiet Stars,"bebop, bossa nova, cool jazz, jazz, jazz saxophone, latin jazz, samba-jazz, vocal jazz"
V for Vendetta,Yakety Sax,nashville sound
V for Vendetta,I Found a Reason,"alternative rock, melancholia, permanent wave, protopunk, rock"
V for Vendetta,Long Black Train,"contemporary country, country, country road"
V for Vendetta,Bird Gerhl,"baroque pop, chamber pop, melancholia"
V for Vendetta,Street Fighting Man,"album rock, british invasion, classic rock, rock"
V for Vendetta,Bkab,
V for Vendetta,Out of Sight,"classic texas country, neo-traditional country"
V for Vendetta,1812 Overture,"classical, late romantic era, russian romanticism"
Gone with the Wind,Selznick International Theme,vintage italian soundtrack
Gone with the Wind,(I Wish I Was in) Dixie's Land,
Gone with the Wind,Katie Belle,
Gone with the Wind,Under the Willow She's Sleeping,american romanticism
Gone with the Wind,Lou'siana Belle,
Gone with the Wind,Dolly Day,quiet storm
Gone with the Wind,Ring de Banjo,"early american folk, string band, traditional country"
Gone with the Wind,Sweet and Low,"acoustic pop, neo mellow, piano rock, pop rock"
Gone with the Wind,Ye Cavaliers of Dixie,early american folk
Gone with the Wind,Taps,"marching band, military band"
Gone with the Wind,Massa's in de Cold Ground,old west
Gone with the Wind,"Maryland, My Maryland ","bluegrass gospel, country boogie, country gospel, western swing, yodeling"
Gone with the Wind,Irish Washerwoman,
Gone with the Wind,Garryowen,"gregorian chant, puirt-a-beul"
Gone with the Wind,When Johnny Comes Marching Home,"marching band, military band"
Gone with the Wind,"Weeping, Sad and Lonely (When This Cruel War Is Over) ",
Gone with the Wind,The Bonnie Blue Flag,"bluegrass gospel, country boogie, country gospel, western swing, yodeling"
Gone with the Wind,Hark! the Herald Angels Sing,"adult standards, easy listening, lounge"
Gone with the Wind,Tramp! Tramp! Tramp! (The Boys Are Marching),
Gone with the Wind,The Old Folks at Home (Swanee River),"adult standards, dixieland, harlem renaissance, jazz trumpet, new orleans jazz, soul, swing, vocal jazz"
Gone with the Wind,Go Down Moses (Let My People Go),"christmas instrumental, instrumental acoustic guitar"
Gone with the Wind,My Old Kentucky Home,"folk, new americana, roots rock, singer-songwriter"
Gone with the Wind,Marching Through Georgia,"bluegrass gospel, country boogie, country gospel, western swing, yodeling"
Gone with the Wind,Battle Hymn of the Republic,
Gone with the Wind,Beautiful Dreamer,
Gone with the Wind,Jeanie with the Light Brown Hair,"classic soul, soul, vocal jazz"
Gone with the Wind,Yankee Doodle,children's music
Gone with the Wind,Stars of the Summer Night,torch song
Gone with the Wind,Bridal Chorus (Here Comes the Bride),
Gone with the Wind,Deep River,"fingerstyle, instrumental bluegrass, jazz guitar"
Gone with the Wind,For He's a Jolly Good Fellow,instrumental lullaby
Gone with the Wind,London Bridge Is Falling Down,nursery
Gone with the Wind,Ben Bolt (Oh Don't You Remember),melodic house
Gone with the Wind,(Unspecified Cue),
Chinatown,I Can't Get Started,
Chinatown,Easy Living,"adult standards, harlem renaissance, jazz, jazz blues, soul, swing, torch song, vocal jazz"
Chinatown,The Way You Look Tonight,"adult standards, canadian pop, jazz pop, lounge"
Chinatown,Some Day,gen z singer-songwriter
Chinatown,The Vagabond King Waltz,"adult standards, torch song, vocal jazz"
Inside Out,Grim Grinning Ghosts (Otherworldly Concerto),
Inside Out,Exotico Speedo,
"Lock, Stock and Two Smoking Barrels",Hundred Mile City,"britpop, madchester, mod revival"
"Lock, Stock and Two Smoking Barrels",Police and Thieves,kaneka
"Lock, Stock and Two Smoking Barrels",The Boss,
"Lock, Stock and Two Smoking Barrels","Truly Madly, Deeply ","boy band, dance pop, pop rock"
"Lock, Stock and Two Smoking Barrels",Spooky,underground power pop
"Lock, Stock and Two Smoking Barrels","Liar, Liar ","dance pop, edm, pop, pop dance"
"Lock, Stock and Two Smoking Barrels",I Wanna Be Your Dog,"alternative rock, detroit rock, permanent wave, protopunk, punk"
"Lock, Stock and Two Smoking Barrels",Why Did You Do It,
"Lock, Stock and Two Smoking Barrels",Man Machine,"dusseldorf electronic, early synthpop, electro, proto-techno, synthpop"
"Lock, Stock and Two Smoking Barrels",Zorba's Dance,bouzouki
"Lock, Stock and Two Smoking Barrels",The Payback,"funk, motown, soul, vocal jazz"
"Lock, Stock and Two Smoking Barrels",Walk This Land,
"Lock, Stock and Two Smoking Barrels",Fool's Gold,
"Lock, Stock and Two Smoking Barrels",18 With A Bullet,"chicano rap, san diego rap"
"Lock, Stock and Two Smoking Barrels",Oh Girl,"chicago soul, classic soul, disco, funk, quiet storm, soul, southern soul"
The Thing,Don't Explain,"album rock, classic rock, dance rock, mellow gold, new romantic, new wave, new wave pop, singer-songwriter, soft rock, yacht rock"
The Thing,Superstition,"motown, soul"
The Thing,One Chain Don't Make No Prison,"glam metal, hard rock, metal, thrash metal, us power metal"
Dial M for Murder,,
The Secret in Their Eyes,Tema de Liliana,folklore argentino
The Secret in Their Eyes,Réquiem,
The Secret in Their Eyes,Morales,rap
The Secret in Their Eyes,Tema de Irene,
Howl's Moving Castle,Sekai no Yakusoku,japanese instrumental
The Bridge on the River Kwai,Colonel Bogey March,military band
The Bridge on the River Kwai,For He's a Jolly Good Fellow,instrumental lullaby
The Bridge on the River Kwai,If You Were the Only Girl in the World,"adult standards, easy listening, lounge, vocal jazz"
The Bridge on the River Kwai,God Save the King,"gregorian chant, puirt-a-beul"
The Bridge on the River Kwai,I Give My Heart To No One But You,"classic soundtrack, concert band, contemporary classical, early modern classical, light music"
The Bridge on the River Kwai,Radio Dance Music,"classical, classical era, early romantic era, german romanticism"
The Bridge on the River Kwai,Camp Concert Dance,"classical, late romantic era, russian romanticism"
Trainspotting,Lust for Life,"art pop, pop"
Trainspotting,Carmen - Habañera,"classical, french opera, french romanticism, late romantic era"
Trainspotting,Deep Blue Day,"ambient, art pop, art rock, compositional ambient, experimental, experimental ambient, fourth world, glam rock, minimalism, singer-songwriter"
Trainspotting,Trainspotting,
Trainspotting,Temptation,"alternative r&b, indie soul"
Trainspotting,Atomic,"pop, viral pop"
Trainspotting,Temptation,"alternative r&b, indie soul"
Trainspotting,Nightclubbing,"alternative rock, glam rock, permanent wave, protopunk, rock"
Trainspotting,Sing,electro house
Trainspotting,Perfect Day,"classic rock, glam rock, permanent wave, rock, singer-songwriter"
Trainspotting,Dark and Long,"big beat, electronica"
Trainspotting,Think About the Way (Bom Digi Digi Bom...),
Trainspotting,Mile End,pop
Trainspotting,For What You Dream Of,classic progressive house
Trainspotting,2:01,
